,R1,R3,R4,std,mean
dapA_sg_MM00,-0.1983,-0.1405,-0.1876,0.030750989144,-0.175466666667
dapA_sg_MM02,-0.3302,-0.2914,-0.3245,0.0209504972097,-0.315366666667
dapA_sg_MM03,-0.0779,-0.0638,-0.0729,0.00714865954801,-0.0715333333333
dapA_sg_MM04,-0.4193,-0.357,-0.3908,0.0311875509352,-0.389033333333
dapA_sg_MM05,-0.4726,-0.3901,-0.4304,0.0412536463035,-0.431033333333
dapA_sg_MM06,-0.4631,-0.3742,-0.4016,0.0455269517246,-0.412966666667
dapA_sg_MM07,-0.412,-0.3534,-0.3452,0.0364313052195,-0.3702
dapA_sg_MM08,-0.4476,-0.4228,-0.3554,0.0477120529845,-0.4086
dapA_sg_MM09,-0.4426,-0.456,-0.3265,0.0712144882263,-0.408366666667
dapA_sg_MM10,0.0014,-0.0113,0.0247,0.0182582401489,0.00493333333333
dapA_sg_MM11,0.0831,0.0722,0.0965,0.0121714145987,0.0839333333333
dapA_sg_MM12,0.0528,0.0523,0.0533,0.0005,0.0528
dapB_sg_MM00,-0.4736,-0.4092,-0.4408,0.0322018633001,-0.4412
dapB_sg_MM02,-0.5073,,,,-0.5073
dapB_sg_MM03,-0.5265,-0.4315,-0.4747,0.0475648329476,-0.477566666667
dapB_sg_MM04,-0.5927,-0.6126,-0.5617,0.0256509259092,-0.589
dapB_sg_MM05,-0.4645,-0.4365,-0.3907,0.0372560509627,-0.430566666667
dapB_sg_MM06,-0.3389,-0.2712,-0.2176,0.0607864294066,-0.2759
dapB_sg_MM07,-0.2677,-0.2783,-0.209,0.0373285860077,-0.251666666667
dapB_sg_MM08,-0.4383,-0.4533,-0.4551,0.00922388204608,-0.4489
dapB_sg_MM10,-0.2862,-0.3488,-0.2355,0.0567540600603,-0.290166666667
dapB_sg_MM11,-0.2703,-0.2807,-0.1911,0.049005033755,-0.247366666667
dapB_sg_MM12,-0.1309,-0.1796,-0.0978,0.0411471748726,-0.1361
gltB_sg_MM00,-0.4418,-0.3751,-0.4399,0.0379726656074,-0.418933333333
gltB_sg_MM02,-0.493,-0.4573,-0.4606,0.0197278990265,-0.4703
gltB_sg_MM03,-0.3461,-0.3549,-0.3123,0.0224894049128,-0.337766666667
gltB_sg_MM04,-0.3788,-0.3389,-0.363,0.0200933654059,-0.360233333333
gltB_sg_MM05,-0.2543,-0.2248,-0.229,0.0159581744988,-0.236033333333
gltB_sg_MM06,-0.2177,-0.2127,-0.2275,0.00752861208989,-0.2193
gltB_sg_MM07,-0.2426,-0.2306,-0.2318,0.00660908465674,-0.235
gltB_sg_MM08,-0.2397,-0.2511,-0.2308,0.010175624469,-0.240533333333
gltB_sg_MM09,-0.1676,-0.1521,-0.1387,0.0144627106726,-0.1528
gltB_sg_MM10,-0.0642,-0.0769,-0.0516,0.012650032938,-0.0642333333333
gltB_sg_MM11,,,,,
gltB_sg_MM12,-0.016,-0.0215,-0.0303,0.00721318237673,-0.0226
negC,0.0,0.0,0.0,0.0,0.0
purC_sg_MM00,-0.5982,-0.5791,-0.5892,0.00955527777374,-0.588833333333
purC_sg_MM02,-0.2675,-0.2798,-0.2357,0.0227571966639,-0.261
purC_sg_MM03,-0.2461,-0.2118,-0.2181,0.0182582401489,-0.225333333333
purC_sg_MM04,,,,,
purC_sg_MM05,-0.1948,-0.1729,-0.1501,0.0223515100161,-0.1726
purC_sg_MM06,-0.2605,-0.2488,-0.224,0.0186376858363,-0.244433333333
purC_sg_MM07,-0.3513,-0.3567,-0.33,0.0141170110151,-0.346
purC_sg_MM08,-0.4184,-0.3762,-0.3854,0.0221903883097,-0.393333333333
purC_sg_MM09,-0.1975,-0.2069,-0.195,0.00627455177682,-0.1998
purC_sg_MM10,-0.1426,-0.1414,-0.1091,0.0190042977595,-0.131033333333
purC_sg_MM11,,,,,
purC_sg_MM12,-0.0029,0.007,0.0156,0.00925760948265,0.00656666666667
purE_sg_MM00,,,,,
purE_sg_MM02,-0.7357,-0.7799,-0.6281,0.0780754336096,-0.714566666667
purE_sg_MM03,-1.0037,-0.7768,-0.7341,0.144908626382,-0.8382
purE_sg_MM04,-0.8498,-1.1894,-0.6881,0.255856971764,-0.9091
purE_sg_MM05,-0.8509,-0.8607,-0.8561,0.00490306026885,-0.8559
purE_sg_MM06,-0.8675,-0.8071,-0.8799,0.0389481706887,-0.8515
purE_sg_MM07,-0.9034,-0.875,-0.7343,0.0905518819977,-0.837566666667
purE_sg_MM08,-0.9109,-0.9824,-0.8182,0.0823277798397,-0.903833333333
purE_sg_MM09,-0.9464,-0.9369,-0.784,0.091143129198,-0.8891
purE_sg_MM10,0.0337,0.0517,0.0587,0.0128970280814,0.0480333333333
purE_sg_MM11,0.0366,0.0629,0.0653,0.0159224160646,0.0549333333333
purE_sg_MM12,0.0262,0.0512,0.0493,0.01391773449,0.0422333333333
serA_sg_MM00,-0.0038,0.0007,-0.0287,0.0158357191185,-0.0106
serA_sg_MM02,0.0007,0.0128,-0.001,0.00752484772825,0.00416666666667
serA_sg_MM03,0.0001,-0.0092,0.0044,0.00695149863938,-0.00156666666667
serA_sg_MM04,0.0303,0.0078,0.0546,0.0234057685197,0.0309
serA_sg_MM05,0.0231,0.0261,0.035,0.00618896868091,0.0280666666667
serA_sg_MM06,0.0329,0.0389,0.0473,0.00723325652801,0.0397
serA_sg_MM07,0.0392,0.0378,0.0539,0.00891870693169,0.0436333333333
serA_sg_MM08,0.0307,0.0463,0.041,0.00793242291695,0.0393333333333
serA_sg_MM09,0.0264,0.0257,0.0305,0.00259293913028,0.0275333333333
serA_sg_MM10,0.0365,0.0462,0.0508,0.0073,0.0445
serA_sg_MM11,0.0985,0.0953,0.0993,0.00211660104885,0.0977
serA_sg_MM12,0.0069,0.022,0.0334,0.0132929806038,0.0207666666667
serC_sg_MM00,-0.7475,-0.7991,-0.7154,0.0422268871692,-0.754
serC_sg_MM02,-0.7149,-0.7575,-0.7041,0.0282340220302,-0.7255
serC_sg_MM03,-0.7546,-0.7852,-0.7631,0.0157956745134,-0.767633333333
serC_sg_MM05,-0.6117,-0.6947,-0.628,0.0439764709817,-0.6448
serC_sg_MM06,-0.6792,-0.814,-0.5926,0.111571023717,-0.695266666667
serC_sg_MM07,-0.7311,-0.7561,-0.6988,0.0287273969119,-0.728666666667
serC_sg_MM08,-0.752,-0.607,-0.8334,0.114679204741,-0.7308
serC_sg_MM09,-0.7189,-0.7113,-0.5685,0.0847248094323,-0.666233333333
serC_sg_MM10,,,,,
serC_sg_MM11,0.07,0.081,0.0979,0.0140535879167,0.0829666666667
serC_sg_MM12,0.0818,0.0979,0.0961,0.00882175341604,0.0919333333333
